InChIKey	InChI	Smiles
ZYVXHFWBYUDDBM-UHFFFAOYSA-N	InChI=1S/C7H8N2O/c1-8-7(10)6-3-2-4-9-5-6/h2-5H,1H3,(H,8,10)	CN=C(c1cccnc1)O
KBOJOGQFRVVWBH-ZETCQYMHSA-N	InChI=1S/C8H11N3O3/c1-5(12)11-7(8(13)14)2-6-3-9-4-10-6/h3-4,7H,2H2,1H3,(H,9,10)(H,11,12)(H,13,14)/t7-/m0/s1	CC(=N[C@@H](Cc1cnc[nH]1)C(=O)O)O
DTERQYGMUDWYAZ-ZETCQYMHSA-N	InChI=1S/C8H16N2O3/c1-6(11)10-5-3-2-4-7(9)8(12)13/h7H,2-5,9H2,1H3,(H,10,11)(H,12,13)/t7-/m0/s1	CC(=NCCCC[C@@H](C(=O)O)N)O
DFPAKSUCGFBDDF-UHFFFAOYSA-N	InChI=1S/C6H6N2O/c7-6(9)5-2-1-3-8-4-5/h1-4H,(H2,7,9)	c1cc(cnc1)C(=N)O
PVNIIMVLHYAWGP-UHFFFAOYSA-N	InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)	c1cc(cnc1)C(=O)O
HLERILKGMXJNBU-UHFFFAOYSA-N	InChI=1S/C8H17NO2/c1-5-6-7(8(10)11)9(2,3)4/h7H,5-6H2,1-4H3	CCCC(C(=O)[O-])[N+](C)(C)C
ONJSZLXSECQROL-UHFFFAOYSA-N	InChI=1S/C9H9NO4/c11-7-4-2-1-3-6(7)9(14)10-5-8(12)13/h1-4,11H,5H2,(H,10,14)(H,12,13)	c1ccc(c(c1)C(=NCC(=O)O)O)O
JCMUOFQHZLPHQP-BQBZGAKWSA-N	InChI=1S/C11H19N3O6/c1-2-7(10(18)13-5-9(16)17)14-8(15)4-3-6(12)11(19)20/h6-7H,2-5,12H2,1H3,(H,13,18)(H,14,15)(H,16,17)(H,19,20)/t6-,7-/m0/s1	CC[C@@H](C(=NCC(=O)O)O)N=C(CC[C@@H](C(=O)O)N)O
YPZRWBKMTBYPTK-BJDJZHNGSA-N	InChI=1S/C20H32N6O12S2/c21-9(19(35)36)1-3-13(27)25-11(17(33)23-5-15(29)30)7-39-40-8-12(18(34)24-6-16(31)32)26-14(28)4-2-10(22)20(37)38/h9-12H,1-8,21-22H2,(H,23,33)(H,24,34)(H,25,27)(H,26,28)(H,29,30)(H,31,32)(H,35,36)(H,37,38)/t9-,10-,11-,12-/m0/s1	C(CC(=N[C@@H](CSSC[C@@H](C(=NCC(=O)O)O)N=C(CC[C@@H](C(=O)O)N)O)C(=NCC(=O)O)O)O)[C@@H](C(=O)O)N
ALYNCZNDIQEVRV-UHFFFAOYSA-N	InChI=1S/C7H7NO2/c8-6-3-1-5(2-4-6)7(9)10/h1-4H,8H2,(H,9,10)	c1cc(ccc1C(=O)O)N
GHOKWGTUZJEAQD-UHFFFAOYSA-N	InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)	CC(C)(CO)C(C(=NCCC(=O)O)O)O
QUNWUDVFRNGTCO-UHFFFAOYSA-N	InChI=1S/C7H8N4O2/c1-10-3-8-5-4(10)6(12)11(2)7(13)9-5/h3H,1-2H3,(H,9,13)	Cn1cnc2c1c(=O)n(C)c(n2)O
XTFQIRIHLGODFV-NSHDSACASA-N	InChI=1S/C12H17NO2/c1-13(2,3)11(12(14)15)9-10-7-5-4-6-8-10/h4-8,11H,9H2,1-3H3/t11-/m0/s1	C[N+](C)(C)[C@@H](Cc1ccccc1)C(=O)[O-]
XNGIFLGASWRNHJ-UHFFFAOYSA-N	InChI=1S/C8H6O4/c9-7(10)5-3-1-2-4-6(5)8(11)12/h1-4H,(H,9,10)(H,11,12)	c1ccc(c(c1)C(=O)O)C(=O)O
MXXWOMGUGJBKIW-YPCIICBESA-N	InChI=1S/C17H19NO3/c19-17(18-10-4-1-5-11-18)7-3-2-6-14-8-9-15-16(12-14)21-13-20-15/h2-3,6-9,12H,1,4-5,10-11,13H2/b6-2+,7-3+	C1CCN(CC1)C(=O)/C=C/C=C/c1ccc2c(c1)OCO2
IHPYMWDTONKSCO-UHFFFAOYSA-N	InChI=1S/C8H18N2O6S2/c11-17(12,13)7-5-9-1-2-10(4-3-9)6-8-18(14,15)16/h1-8H2,(H,11,12,13)(H,14,15,16)	C1CN(CCN1CCS(=O)(=O)O)CCS(=O)(=O)O
CMUNUTVVOOHQPW-LURJTMIESA-N	InChI=1S/C7H13NO2/c1-8(2)5-3-4-6(8)7(9)10/h6H,3-5H2,1-2H3/t6-/m0/s1	C[N+]1(C)CCC[C@H]1C(=O)[O-]
YSAUAVHXTIETRK-AATRIKPKSA-N	InChI=1S/C11H14N2S/c1-13-8-3-7-12-11(13)6-5-10-4-2-9-14-10/h2,4-6,9H,3,7-8H2,1H3/b6-5+	CN1CCCN=C1/C=C/c1cccs1
RWRDLPDLKQPQOW-UHFFFAOYSA-N	InChI=1S/C4H9N/c1-2-4-5-3-1/h5H,1-4H2	C1CCNC1
LOAUVZALPPNFOQ-UHFFFAOYSA-N	InChI=1S/C10H7NO2/c12-10(13)9-6-5-7-3-1-2-4-8(7)11-9/h1-6H,(H,12,13)	c1ccc2c(c1)ccc(C(=O)O)n2
QZAYGJVTTNCVMB-UHFFFAOYSA-N	InChI=1S/C10H12N2O/c11-4-3-7-6-12-10-2-1-8(13)5-9(7)10/h1-2,5-6,12-13H,3-4,11H2	c1cc2c(cc1O)c(CCN)c[nH]2
WBWWGRHZICKQGZ-HZAMXZRMSA-N	InChI=1S/C26H45NO7S/c1-15(4-7-23(31)27-10-11-35(32,33)34)18-5-6-19-24-20(14-22(30)26(18,19)3)25(2)9-8-17(28)12-16(25)13-21(24)29/h15-22,24,28-30H,4-14H2,1-3H3,(H,27,31)(H,32,33,34)/t15-,16+,17-,18-,19+,20+,21-,22+,24+,25+,26-/m1/s1	C[C@H](CCC(=NCCS(=O)(=O)O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@@H]([C@]12C)O)[C@@]1(C)CC[C@H](C[C@H]1C[C@H]3O)O
YAPQBXQYLJRXSA-UHFFFAOYSA-N	InChI=1S/C7H8N4O2/c1-10-3-8-5-4(10)6(12)9-7(13)11(5)2/h3H,1-2H3,(H,9,12,13)	Cn1cnc2c1c(nc(=O)n2C)O
ZFXYFBGIUFBOJW-UHFFFAOYSA-N	InChI=1S/C7H8N4O2/c1-10-5-4(8-3-9-5)6(12)11(2)7(10)13/h3H,1-2H3,(H,8,9)	Cn1c2c(c(=O)n(C)c1=O)nc[nH]2
RWQNBRDOKXIBIV-UHFFFAOYSA-N	InChI=1S/C5H6N2O2/c1-3-2-6-5(9)7-4(3)8/h2H,1H3,(H2,6,7,8,9)	Cc1cnc(nc1O)O
KSEBMYQBYZTDHS-HWKANZROSA-N	InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+	COc1cc(ccc1O)/C=C/C(=O)O
STCOOQWBFONSKY-UHFFFAOYSA-N	InChI=1S/C12H27O4P/c1-4-7-10-14-17(13,15-11-8-5-2)16-12-9-6-3/h4-12H2,1-3H3	CCCCOP(=O)(OCCCC)OCCCC
WWNNZCOKKKDOPX-UHFFFAOYSA-N	InChI=1S/C7H7NO2/c1-8-4-2-3-6(5-8)7(9)10/h2-5H,1H3	C[n+]1cccc(c1)C(=O)[O-]
UYPYRKYUKCHHIB-UHFFFAOYSA-N	InChI=1S/C3H9NO/c1-4(2,3)5/h1-3H3	CN(=O)(C)C
AOHCBEAZXHZMOR-ZDUSSCGKSA-N	InChI=1S/C14H18N2O2/c1-16(2,3)13(14(17)18)8-10-9-15-12-7-5-4-6-11(10)12/h4-7,9,13,15H,8H2,1-3H3/t13-/m0/s1	C[N+](C)(C)[C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-]
ISAKRJDGNUQOIC-UHFFFAOYSA-N	InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)	c1cnc(nc1O)O
LEHOTFFKMJEONL-UHFFFAOYSA-N	InChI=1S/C5H4N4O3/c10-3-1-2(7-4(11)6-1)8-5(12)9-3/h(H4,6,7,8,9,10,11,12)	c12c([nH]c(n2)O)nc(nc1O)O
DRTQHJPVMGBUCF-XVFCMESISA-N	InChI=1S/C9H12N2O6/c12-3-4-6(14)7(15)8(17-4)11-2-1-5(13)10-9(11)16/h1-2,4,6-8,12,14-15H,3H2,(H,10,13,16)/t4-,6-,7-,8-/m1/s1	c1cn([C@H]2[C@@H]([C@@H]([C@@H](CO)O2)O)O)c(=O)nc1O
REWYJJRDEOKNBQ-UHFFFAOYSA-N	InChI=1S/C8H17NO2/c1-6(2)7(8(10)11)9(3,4)5/h6-7H,1-5H3	CC(C)C(C(=O)[O-])[N+](C)(C)C
LRFVTYWOQMYALW-UHFFFAOYSA-N	InChI=1S/C5H4N4O2/c10-4-2-3(7-1-6-2)8-5(11)9-4/h1H,(H3,6,7,8,9,10,11)	c1nc2c([nH]1)nc(nc2O)O
